Raw Filename (.bdf format),Bad Electrodes (separate by commas)
123_Pre_Example_Example.bdf,"Fp1, Oz, Cz"
139_Pre_EEG_TOVA_sustained_TOVA.bdf,CP2
145_Pre_EEG_TOVA_sustained_TOVA.bdf,
146_Pre_EEG_TOVA_sustained_TOVA.bdf,
163_Pre_EEG_TOVA_sustained_TOVA.bdf,
169_Pre_EEG_TOVA_sustained_TOVA.bdf,
